Rank,Year,Movie,Movie Link,Total Gross,Max Theaters,Opening Weekend Gross,Opening Weekend % of Total,Opening Theaters,Open Date,Distributor,MPAA,Running Time,Genres,In Release,Running Time Numeric
1,2024,Inside Out 2,https://www.boxofficemojo.com/release/rl3638199041/?ref_=bo_yld_table_1,652980194.0,4440,154201673.0,0.23600000000000002,4440,Jun 14,Walt Disney Studios Motion Pictures,PG,1 hr 36 min,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy']",286 days/40 weeks,96.0
2,2024,Deadpool & Wolverine,https://www.boxofficemojo.com/release/rl4108092161/?ref_=bo_yld_table_2,636745858.0,4330,211435291.0,0.332,4210,Jul 26,Walt Disney Studios Motion Pictures,R,2 hr 8 min,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",244 days/34 weeks,128.0
3,2024,Wicked,https://www.boxofficemojo.com/release/rl1199474177/?ref_=bo_yld_table_3,473231120.0,3888,112508890.0,0.23800000000000002,3888,Nov 22,Universal Pictures,PG,2 hr 40 min,"['Fantasy', 'Musical', 'Romance']",125 days/17 weeks,160.0
4,2024,Moana 2,https://www.boxofficemojo.com/release/rl862748673/?ref_=bo_yld_table_4,460364069.0,4200,139787385.0,0.304,4200,Nov 27,Walt Disney Studios Motion Pictures,PG,1 hr 40 min,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",120 days/17 weeks,100.0
5,2024,Despicable Me 4,https://www.boxofficemojo.com/release/rl2603516673/?ref_=bo_yld_table_5,361004205.0,4449,75009210.0,0.20800000000000002,4428,Jul 3,Universal Pictures,PG,1 hr 34 min,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Sci-Fi']",267 days/38 weeks,94.0
6,2024,Beetlejuice Beetlejuice,https://www.boxofficemojo.com/release/rl3365110529/?ref_=bo_yld_table_6,294100435.0,4575,111003345.0,0.377,4575,Sep 6,Warner Bros.,PG-13,1 hr 45 min,"['Comedy', 'Fantasy', 'Horror']",202 days/28 weeks,105.0
7,2024,Dune: Part Two,https://www.boxofficemojo.com/release/rl68715265/?ref_=bo_yld_table_7,282144358.0,4074,82505391.0,0.292,4071,Mar 1,Warner Bros.,PG-13,2 hr 46 min,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",391 days/55 weeks,166.0
8,2024,Twisters,https://www.boxofficemojo.com/release/rl1324712705/?ref_=bo_yld_table_8,267762265.0,4170,81251415.0,0.303,4151,Jul 19,Universal Pictures,PG-13,2 hr 2 min,"['Action', 'Adventure', 'Thriller']",251 days/35 weeks,122.0
9,2024,Mufasa: The Lion King,https://www.boxofficemojo.com/release/rl1511097089/?ref_=bo_yld_table_9,253981541.0,4100,35409365.0,0.139,4100,Dec 20,Walt Disney Studios Motion Pictures,PG,1 hr 58 min,"['Adventure', 'Animation', 'Drama', 'Family', 'Fantasy', 'Musical']",97 days/13 weeks,118.0
10,2024,Sonic the Hedgehog 3,https://www.boxofficemojo.com/release/rl886211329/?ref_=bo_yld_table_10,236100420.0,3769,60102146.0,0.255,3761,Dec 20,Paramount Pictures,PG,1 hr 50 min,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",97 days/13 weeks,110.0
11,2024,Godzilla x Kong: The New Empire,https://www.boxofficemojo.com/release/rl3351937793/?ref_=bo_yld_table_11,196350016.0,3948,80006561.0,0.40700000000000003,3861,Mar 29,Warner Bros.,PG-13,1 hr 55 min,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Thriller']",363 days/51 weeks,115.0
12,2024,Kung Fu Panda 4,https://www.boxofficemojo.com/release/rl601195265/?ref_=bo_yld_table_12,193590620.0,4067,57989905.0,0.3,4035,Mar 8,Universal Pictures,PG,1 hr 34 min,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",384 days/54 weeks,94.0
13,2024,Bad Boys: Ride or Die,https://www.boxofficemojo.com/release/rl1386447617/?ref_=bo_yld_table_13,193573217.0,3885,56527324.0,0.292,3885,Jun 7,Sony Pictures Releasing,R,1 hr 55 min,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",293 days/41 weeks,115.0
14,2024,Gladiator II,https://www.boxofficemojo.com/release/rl1778156289/?ref_=bo_yld_table_14,172438016.0,3580,55034715.0,0.319,3573,Nov 22,Paramount Pictures,R,2 hr 28 min,"['Action', 'Adventure', 'Drama']",125 days/17 weeks,148.0
15,2024,Kingdom of the Planet of the Apes,https://www.boxofficemojo.com/release/rl1678869249/?ref_=bo_yld_table_15,171130165.0,4075,58400788.0,0.341,4075,May 10,20th Century Studios,PG-13,2 hr 25 min,"['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Thriller']",321 days/45 weeks,145.0
16,2024,It Ends with Us,https://www.boxofficemojo.com/release/rl3818881793/?ref_=bo_yld_table_16,148518266.0,3839,50016652.0,0.337,3611,Aug 9,Sony Pictures Releasing,PG-13,2 hr 10 min,"['Drama', 'Romance']",230 days/32 weeks,130.0
17,2024,The Wild Robot,https://www.boxofficemojo.com/release/rl3443949569/?ref_=bo_yld_table_17,143901945.0,3997,35790150.0,0.249,3962,Sep 27,Universal Pictures,PG,1 hr 42 min,"['Animation', 'Sci-Fi']",181 days/25 weeks,102.0
18,2024,Venom: The Last Dance,https://www.boxofficemojo.com/release/rl3290006273/?ref_=bo_yld_table_18,139755882.0,4131,51012404.0,0.365,4131,Oct 25,Sony Pictures Releasing,PG-13,1 hr 50 min,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",153 days/21 weeks,110.0
19,2024,A Quiet Place: Day One,https://www.boxofficemojo.com/release/rl545096449/?ref_=bo_yld_table_19,139051884.0,3708,52202495.0,0.375,3707,Jun 28,Paramount Pictures,PG-13,1 hr 39 min,"['Drama', 'Horror', 'Sci-Fi', 'Thriller']",272 days/38 weeks,99.0
20,2024,Ghostbusters: Frozen Empire,https://www.boxofficemojo.com/release/rl1436779265/?ref_=bo_yld_table_20,113376590.0,4345,45004673.0,0.397,4345,Mar 22,Sony Pictures Releasing,PG-13,1 hr 55 min,"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",370 days/52 weeks,115.0
21,2024,IF,https://www.boxofficemojo.com/release/rl3731915521/?ref_=bo_yld_table_21,111375918.0,4068,33715801.0,0.303,4041,May 17,Paramount Pictures,PG,1 hr 44 min,"['Animation', 'Comedy', 'Drama', 'Family', 'Fantasy']",314 days/44 weeks,104.0
22,2024,Alien: Romulus,https://www.boxofficemojo.com/release/rl654017281/?ref_=bo_yld_table_22,105313091.0,3915,42003361.0,0.39899999999999997,3885,Aug 16,Walt Disney Studios Motion Pictures,R,1 hr 59 min,"['Horror', 'Sci-Fi', 'Thriller']",223 days/31 weeks,119.0
23,2024,Red One,https://www.boxofficemojo.com/release/rl2841083905/?ref_=bo_yld_table_23,97000759.0,4032,32106112.0,0.331,4032,Nov 15,Amazon MGM Studios,PG-13,2 hr 3 min,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Mystery']",132 days/18 weeks,123.0
24,2024,Bob Marley: One Love,https://www.boxofficemojo.com/release/rl1496810241/?ref_=bo_yld_table_24,96981216.0,3597,28659004.0,0.29600000000000004,3539,Feb 14,Paramount Pictures,PG-13,1 hr 47 min,"['Biography', 'Drama', 'Music']",407 days/58 weeks,107.0
25,2024,Nosferatu,https://www.boxofficemojo.com/release/rl2537783297/?ref_=bo_yld_table_25,95608235.0,3132,21652560.0,0.226,2992,Dec 25,Focus Features,R,2 hr 12 min,"['Fantasy', 'Horror', 'Mystery']",92 days/13 weeks,132.0
26,2024,The Fall Guy,https://www.boxofficemojo.com/release/rl752190209/?ref_=bo_yld_table_26,92900355.0,4008,27747035.0,0.299,4002,May 3,Universal Pictures,PG-13,2 hr 6 min,"['Action', 'Comedy', 'Drama', 'Romance']",328 days/46 weeks,126.0
27,2024,The Garfield Movie,https://www.boxofficemojo.com/release/rl382960385/?ref_=bo_yld_table_27,91956547.0,4108,24006629.0,0.261,4035,May 24,Sony Pictures Releasing,PG,1 hr 41 min,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",307 days/43 weeks,101.0
28,2024,A Complete Unknown,https://www.boxofficemojo.com/release/rl2843508737/?ref_=bo_yld_table_28,74924410.0,2835,11655553.0,0.156,2835,Dec 25,Searchlight Pictures,R,2 hr 21 min,"['Biography', 'Drama', 'Music']",92 days/13 weeks,141.0
29,2024,Longlegs,https://www.boxofficemojo.com/release/rl1733394433/?ref_=bo_yld_table_29,74346140.0,2850,22400119.0,0.301,2510,Jul 12,Neon,R,1 hr 41 min,"['Crime', 'Horror', 'Thriller']",258 days/36 weeks,101.0
30,2024,Mean Girls,https://www.boxofficemojo.com/release/rl615482113/?ref_=bo_yld_table_30,72581770.0,3826,28635307.0,0.395,3791,Jan 12,Paramount Pictures,PG-13,1 hr 52 min,"['Comedy', 'Musical']",440 days/62 weeks,112.0
31,2024,Smile 2,https://www.boxofficemojo.com/release/rl665813761/?ref_=bo_yld_table_31,69012586.0,3624,23021692.0,0.33399999999999996,3619,Oct 18,Paramount Pictures,R,2 hr 7 min,"['Horror', 'Mystery', 'Thriller']",160 days/22 weeks,127.0
32,2024,Civil War,https://www.boxofficemojo.com/release/rl172392449/?ref_=bo_yld_table_32,68756072.0,3929,25537368.0,0.371,3838,Apr 12,A24,R,1 hr 49 min,"['Action', 'Adventure', 'Thriller']",349 days/49 weeks,109.0
33,2024,Furiosa: A Mad Max Saga,https://www.boxofficemojo.com/release/rl627344129/?ref_=bo_yld_table_33,67475791.0,3864,26326462.0,0.39,3804,May 24,Warner Bros.,R,2 hr 28 min,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",307 days/43 weeks,148.0
